Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Kvaratskhelia,Napoli,A,82.75,83,88,80,80,,,,,Outsider,,,,,,Goleador,Assistman,Rigorista,,21/30,8/11,4/7
Martinez L.,Inter,A,79.75,91,88,60,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,21/30,12/15,3/5
ZACCAGNI MATTIA,Lazio,A,79.0,76,80,80,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,,,21/30,8/11,4/7
MALINOVSKYI RUSLAN,Genoa,A,75.0,82,78,60,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,8/11,8/11
Dovbyk,Roma,A,75.0,80,80,80,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,30+,16/19,4/7
Vlahovic,Juventus,A,74.5,89,89,60,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,21/30,20+,4/7
POLITANO MATTEO,Napoli,A,73.75,83,72,60,80,,,,,,,,,,Buona Media,Goleador,,,,21/30,4/7,3/5
Cutrone,Como,A,72.75,74,77,60,80,,,,,Outsider,,,,,Buona Media,Goleador,,,,30+,12/15,3/5
Osimhen,Napoli,A,72.25,89,80,60,60,,,,Fuoriclasse,,,,,,,Goleador,,Rigorista,,21/30,16/19,3/5
Chiesa,Juventus,A,72.25,84,85,60,60,,,,,,,,,,Buona Media,Goleador,,,,30+,8/11,4/7
Gudmundsson A.,Fiorentina,A,71.75,75,72,60,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,,,30+,8/11,3/5
Morata,Milan,A,71.75,82,85,60,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,21/30,16/19,3/5
Thuram,Inter,A,70.0,82,78,60,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,,,21/30,12/15,4/7
Ngonge,Napoli,A,69.75,69,70,60,80,,,,,,,,,,Buona Media,Goleador,,,,11/20,8/11,3/5
ANDERSON FELIPE,Lazio,A,69.25,78,79,60,60,,,,,,,,,,Buona Media,Goleador,Assistman,,,21/30,4/7,4/7
Pinamonti,Genoa,A,69.0,76,80,60,60,,,,,,,,,,Buona Media,Goleador,,Rigorista,,21/30,8/11,0/3
Dallinga,Bologna,A,68.75,78,77,60,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,4/7
Milik,Juventus,A,68.75,76,79,80,40,,,,,,,,,,,Goleador,,Rigorista,,21/30,8/11,3/5
SAELEMAEKERS ALEXIS,Milan,A,68.5,80,74,40,80,,,,,,,,,,,Goleador,,,,11/20,3/5,0/3
Dybala,Roma,A,68.5,87,87,60,40,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,8/11,4/7
Pohjanpalo,Venezia,A,68.5,82,72,60,60,,,,Fuoriclasse,,,,,,,Goleador,,Rigorista,,30+,12/15,0/3
ZANIOLO NICOLO',Atalanta,A,68.0,73,79,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,4/7,4/7
Raspadori,Napoli,A,67.75,74,77,60,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,3/5
Retegui,Atalanta,A,66.75,77,70,60,60,,,,,Outsider,,,,,,Goleador,,Rigorista,,21/30,12/15,0/3
Zapata D.,Torino,A,66.25,80,85,60,40,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,11/20,4/7,4/7
De Ketelaere,Atalanta,A,66.0,91,73,40,60,,,,Fuoriclasse,,,,,,,Goleador,Assistman,,,11/20,3/5,3/5
CHUKWUEZE SAMUEL,Milan,A,66.0,64,80,60,60,,,,,,,,,,,Goleador,Assistman,,,21/30,4/7,4/7
SHOMURODOV ELDOR,Roma,A,65.75,71,72,60,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
EL SHAARAWY STEPHAN,Roma,A,65.0,68,72,60,60,,,,,,,,,,,,Assistman,,,11/20,3/5,3/5
BALDANZI TOMMASO,Roma,A,64.75,65,74,60,60,,,,,Outsider,,,,,Buona Media,Goleador,,,,21/30,3/5,4/7
Arnautovic,Inter,A,64.75,70,89,40,60,,,,,,,,,,Buona Media,Goleador,,Rigorista,,11/20,4/7,0/3
VLASIC NIKOLA,Torino,A,64.5,68,70,60,60,,,,,,,,,,,,,,,11/20,3/5,3/5
MAN DENNIS,Parma,A,64.5,71,67,60,60,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,30+,8/11,3/5
Leao,Milan,A,64.25,85,72,40,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,,,21/30,8/11,4/7
Scamacca,Atalanta,A,63.75,86,69,60,40,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Kouame',Fiorentina,A,63.75,73,82,60,40,,,,,,,,,,Buona Media,Goleador,,,,21/30,3/5,3/5
Bonny,Parma,A,63.75,66,69,60,60,,,,,Outsider,,,,,,,Assistman,,,21/30,4/7,4/7
Abraham,Roma,A,63.25,76,77,60,40,,,,,,,,,,,Goleador,,,,21/30,8/11,4/7
Simeone,Napoli,A,63.25,59,74,60,60,,,,,,,,,,,,,,,21/30,4/7,3/5
PULISIC CHRISTIAN,Milan,A,62.75,78,73,40,60,,,,,,,,,,,Goleador,,,,21/30,4/7,3/5
Benedyczak,Parma,A,62.75,67,64,60,60,,,,,Outsider,,,,,,Goleador,,,,30+,4/7,3/5
Lapadula,Cagliari,A,62.75,56,75,60,60,,,,,,,,,,,Goleador,,Rigorista,,30+,8/11,3/5
ORSOLINI RICCARDO,Bologna,A,62.5,74,76,60,40,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,21/30,8/11,4/7
Adams C.,Torino,A,62.5,78,72,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,3/5
Isaksen,Lazio,A,62.5,62,68,60,60,,,,,,,,,,,Goleador,,,,21/30,4/7,3/5
Thauvin,Udinese,A,62.5,55,75,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,3/5,4/7
Petagna,Monza,A,62.25,66,83,40,60,,,,,,,,,,,,,,,11/20,4/7,3/5
Okafor,Milan,A,62.0,71,77,60,40,,,,,Outsider,,,,,,Goleador,,,,21/30,4/7,3/5
Kean,Fiorentina,A,62.0,56,72,40,80,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,3/5
ORISTANIO GAETANO,Venezia,A,61.5,55,71,60,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,3/5
Cancellieri,Parma,A,61.5,62,64,40,80,,,,,,,,,,,,,,,0/10,0/3,0/3
IKONÈ JONATHAN,Fiorentina,A,61.25,69,76,40,60,,,,,,,,,,,Goleador,,,,11/20,3/5,4/7
Solbakken,Empoli,A,61.25,55,70,40,80,,,,,,,,,,,,Assistman,,,11/20,3/5,4/7
Sanabria,Torino,A,61.25,72,73,40,60,,,,,,,,,,,,,Rigorista,,11/20,4/7,0/3
Jovic,Milan,A,61.25,71,74,40,60,,,,,,,,,,,Goleador,,Rigorista,,11/20,4/7,0/3
Caputo,Empoli,A,61.25,48,77,60,60,,,,,,,,,,,Goleador,,Rigorista,,30+,12/15,3/5
Dia,Lazio,A,60.75,78,65,60,40,,,,,Outsider,,,,,Buona Media,Goleador,,,,21/30,8/11,4/7
Castellanos,Lazio,A,60.75,73,70,40,60,,,,,,,,,,,Goleador,,,,11/20,4/7,0/3
Gytkjaer,Venezia,A,60.75,50,53,60,80,,,,,,,,,,,,,,,11/20,3/5,0/2
VERDI SIMONE,Como,A,60.5,65,77,60,40,,,,,,,,,,,Goleador,,Rigorista,,21/30,4/7,4/7
Pellegri,Torino,A,60.5,61,61,40,80,,,,,,,,,,,Goleador,,,,21/30,4/7,0/3
Djuric,Monza,A,60.25,75,66,40,60,,,,,Outsider,,,,,,,,,,11/20,3/5,0/3
Beltran L.,Fiorentina,A,60.25,73,68,40,60,,,,,,,,,,,Goleador,,Rigorista,,11/20,4/7,3/5
Cerri,Como,A,60.25,55,66,40,80,,,,,,,,,,,,,,,11/20,3/5,0/3
KARLSSON JESPER,Bologna,A,59.75,65,74,60,40,,,,,Outsider,,,,,,Goleador,Assistman,,,21/30,4/7,4/7
Cambiaghi,Bologna,A,59.5,71,67,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,0/3
Pedro,Lazio,A,59.5,61,77,60,40,,,,,,,,,,,Goleador,,,,11/20,4/7,4/7
Gonzalez N.,Fiorentina,A,59.0,80,76,40,40,,,,,,,,,,,Goleador,,Rigorista,,11/20,4/7,3/5
Mosquera,Verona,A,59.0,71,65,40,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,0/3
SOTTIL RICCARDO,Fiorentina,A,58.75,68,67,40,60,,,,,,,,,,,,,,,11/20,3/5,0/3
LIVRAMENTO ROCHA DAILON,Verona,A,58.75,70,65,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,4/7,4/7
GYASI EMMANUEL,Empoli,A,58.5,67,67,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3
Odgaard,Bologna,A,58.25,66,67,40,60,,,,,Outsider,,,,,,Goleador,,,,0/10,0/3,0/3
Soule',Roma,A,58.25,71,62,60,40,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,21/30,8/11,4/7
NDOYE DAN,Bologna,A,58.25,65,68,40,60,,,,,,,,,,,,Assistman,,,11/20,3/5,3/5
Piccoli,Cagliari,A,58.25,63,70,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,3/5
